,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
18426,United States of America,USA,1/14/21,11148991,9690757,1342086,4048,333400608,2.90664047
18427,United States of America,USA,1/15/21,12279180,10595866,1610524,4004,333400608,3.178118379
18428,United States of America,USA,1/19/21,15707588,13595803,2023124,2136,333400608,4.077917878
18429,United States of America,USA,1/20/21,16525281,14270441,2161419,2030,333400608,4.280268439
18430,United States of America,USA,1/21/21,17546374,15053257,2394961,2384,333400608,4.515065851
18431,United States of America,USA,1/22/21,19107959,16243093,2756953,4180,333400608,4.871944625
18432,United States of America,USA,1/23/21,20537990,17390345,3027865,3902,333400608,5.216050776
18433,United States of America,USA,1/24/21,21848655,18502131,3216836,3776,333400608,5.549519274
18434,United States of America,USA,1/25/21,22734243,19252279,3346390,3190,333400608,5.774518264
18435,United States of America,USA,1/26/21,23540994,19902237,3481921,2144,333400608,5.969466318
18436,United States of America,USA,1/27/21,24652634,20687970,3801053,2233,333400608,6.205138654
18437,United States of America,USA,1/28/21,26193682,21698606,4263056,3592,333400608,6.508268275
18438,United States of America,USA,1/29/21,27884661,22858318,4780888,3698,333400608,6.856111672
18439,United States of America,USA,1/30/21,29577902,24064165,5259693,3546,333400608,7.217792776
18440,United States of America,USA,1/31/21,31123299,25201143,5657142,3273,333400608,7.558817349
18441,United States of America,USA,2/1/21,32222402,26023153,5927847,2828,333400608,7.805370589
18442,United States of America,USA,2/2/21,32780860,26440836,6064792,2009,333400608,7.930650204
18443,United States of America,USA,2/3/21,33878254,27154956,6436931,1902,333400608,8.144842975
18444,United States of America,USA,2/4/21,35203710,27905197,6926050,3169,333400608,8.369869859
18445,United States of America,USA,2/5/21,36819212,28909497,7503864,3320,333400608,8.671099064
18446,United States of America,USA,2/6/21,39037964,30250964,8317180,4827,333400608,9.073457958
18447,United States of America,USA,2/7/21,41210937,31579100,9147185,3345,333400608,9.47181836
18448,United States of America,USA,2/8/21,42417617,32340146,9518015,2678,333400608,9.70008609
18449,United States of America,USA,2/9/21,43206190,32867213,9840429,1536,333400608,9.858174284
18450,United States of America,USA,2/10/21,44769970,33783384,10469514,1590,333400608,10.13297012
18451,United States of America,USA,2/11/21,46390270,34723964,11188782,2672,333400608,10.41508719
18452,United States of America,USA,2/12/21,48410558,35834855,12085830,3162,333400608,10.74828724
18453,United States of America,USA,2/13/21,50641884,37056122,13082172,3185,333400608,11.11459341
